3x3,     1.txt, astar, nonAdditiveMax,     1, 3.00,     1,  5161
3x3,     2.txt, astar, nonAdditiveMax,     1, 3.00,     1,  5057
3x3,     3.txt, astar, nonAdditiveMax,     2, 2.19,     2,  5153
3x3,     4.txt, astar, nonAdditiveMax,     2, 1.79,     2,  5106
3x3,     5.txt, astar, nonAdditiveMax,     0, 1.00,     0,     4
3x3,     6.txt, astar, nonAdditiveMax,     2, 2.19,     2,  5121
3x3,     7.txt, astar, nonAdditiveMax,     2, 1.79,     2,  5075
3x3,    10.txt, astar, nonAdditiveMax,     3, 1.58,     3,  5065
3x3,    11.txt, astar, nonAdditiveMax,     3, 1.74,     3,  5158
3x3,    12.txt, astar, nonAdditiveMax,     3, 1.74,     3,  5082
3x3,    13.txt, astar, nonAdditiveMax,     3, 1.74,     3,  5292
3x3,    14.txt, astar, nonAdditiveMax,     3, 1.74,     3,  5092
3x3,    15.txt, astar, nonAdditiveMax,     3, 1.74,     3,  5029
3x3,     8.txt, astar, nonAdditiveMax,     3, 1.74,     3,  5146
3x3,     9.txt, astar, nonAdditiveMax,     3, 1.58,     3,  5149
3x3,    16.txt, astar, nonAdditiveMax,     4, 1.49,     4,  5030
3x3,    17.txt, astar, nonAdditiveMax,     5, 1.61,     4,  5099
3x3,    18.txt, astar, nonAdditiveMax,     4, 1.49,     4,  5158
3x3,    19.txt, astar, nonAdditiveMax,     4, 1.49,     4,  5062
3x3,    20.txt, astar, nonAdditiveMax,     4, 1.49,     4,  5112
3x3,    21.txt, astar, nonAdditiveMax,     4, 1.49,     4,  5189
3x3,    22.txt, astar, nonAdditiveMax,     4, 1.40,     4,  5114
3x3,    23.txt, astar, nonAdditiveMax,     4, 1.40,     4,  5022
3x3,    24.txt, astar, nonAdditiveMax,     4, 1.49,     4,  5088
3x3,    25.txt, astar, nonAdditiveMax,     4, 1.49,     4,  5097
3x3,    26.txt, astar, nonAdditiveMax,     4, 1.49,     4,  5087
3x3,    27.txt, astar, nonAdditiveMax,     4, 1.49,     4,  5077
3x3,    28.txt, astar, nonAdditiveMax,     4, 1.49,     4,  5059
3x3,    29.txt, astar, nonAdditiveMax,     4, 1.49,     4,  5110
3x3,    30.txt, astar, nonAdditiveMax,     4, 1.49,     4,  5112
3x3,    31.txt, astar, nonAdditiveMax,     4, 1.49,     4,  5187
3x3,    32.txt, astar, nonAdditiveMax,     5, 1.39,     5,  5007
3x3,    33.txt, astar, nonAdditiveMax,     5, 1.39,     5,  5150
3x3,    34.txt, astar, nonAdditiveMax,     5, 1.34,     5,  5146
3x3,    35.txt, astar, nonAdditiveMax,     5, 1.39,     5,  5290
3x3,    36.txt, astar, nonAdditiveMax,     5, 1.39,     5,  5092
3x3,    37.txt, astar, nonAdditiveMax,     5, 1.39,     5,  5162
3x3,    38.txt, astar, nonAdditiveMax,     5, 1.39,     5,  5129
3x3,    39.txt, astar, nonAdditiveMax,    10, 1.67,     5,  5029
3x3,    40.txt, astar, nonAdditiveMax,     5, 1.39,     5,  5207
3x3,    41.txt, astar, nonAdditiveMax,     5, 1.39,     5,  5130
3x3,    42.txt, astar, nonAdditiveMax,     5, 1.39,     5,  5043
3x3,    43.txt, astar, nonAdditiveMax,     5, 1.39,     5,  5107
3x3,    44.txt, astar, nonAdditiveMax,     5, 1.39,     5,  5081
3x3,    45.txt, astar, nonAdditiveMax,     5, 1.39,     5,  5115
3x3,    46.txt, astar, nonAdditiveMax,     5, 1.39,     5,  4964
3x3,    47.txt, astar, nonAdditiveMax,     5, 1.34,     5,  5100
3x3,    48.txt, astar, nonAdditiveMax,     5, 1.39,     5,  4998
3x3,    49.txt, astar, nonAdditiveMax,     5, 1.39,     5,  5094
3x3,    50.txt, astar, nonAdditiveMax,     5, 1.39,     5,  5207
3x3,    51.txt, astar, nonAdditiveMax,     5, 1.39,     5,  5126
3x3,    66.txt, astar, nonAdditiveMax,     6, 1.31,     6,  5060
